ID_cliente,churn,genero,senior,parceiro,dependentes,tempo_permanencia,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_TV,streaming_filmes,contrato,fatura_online,metodo_pagamento,gastos_diarios,gastos_mensais,gastos_totais
0002-ORFBO,0,1,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Um ano,1,Cheque,2.1866666666666665,65.6,593.3
0003-MKNFE,0,0,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensal,0,Cheque,1.9966666666666666,59.9,542.4
0004-TLHLJ,1,0,0,0,0,4,1,0,Fibra Óptica,0,0,1,0,0,0,Mensal,1,Cheque eletrônico,2.4633333333333334,73.9,280.85
0011-IGKFF,1,0,1,1,0,13,1,0,Fibra Óptica,0,1,1,0,1,1,Mensal,1,Cheque eletrônico,3.2666666666666666,98.0,1237.85
0013-EXCHZ,1,1,1,1,0,3,1,0,Fibra Óptica,0,0,0,1,1,0,Mensal,1,Cheque,2.796666666666667,83.9,267.4
0013-MHZWF,0,1,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensal,1,Cartão de crédito,2.3133333333333335,69.4,571.45
0013-SMEOE,0,1,1,1,0,71,1,0,Fibra Óptica,1,1,1,1,1,1,Dois anos,1,Transferência bancária,3.6566666666666667,109.7,7904.25
0014-BMAQU,0,0,0,1,0,63,1,1,Fibra Óptica,1,0,0,1,0,0,Dois anos,1,Cartão de crédito,2.8216666666666668,84.65,5377.8
0015-UOCOJ,0,1,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensal,1,Cheque eletrônico,1.6066666666666667,48.2,340.35
0016-QLJIS,0,1,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Dois anos,1,Cheque,3.015,90.45,5957.9
0017-DINOC,0,0,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Dois anos,0,Cartão de crédito,1.5066666666666668,45.2,2460.55
0017-IUDMW,0,1,0,1,1,72,1,1,Fibra Óptica,1,1,1,1,1,1,Dois anos,1,Cartão de crédito,3.893333333333333,116.8,8456.75
0018-NYROU,0,1,0,1,0,5,1,0,Fibra Óptica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,2.2983333333333333,68.95,351.5
0019-EFAEP,0,1,0,0,0,72,1,1,Fibra Óptica,1,1,1,0,1,0,Dois anos,1,Transferência bancária,3.3766666666666665,101.3,7261.25
0019-GFNTW,0,1,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Dois anos,0,Transferência bancária,1.5016666666666665,45.05,2560.1
0020-INWCK,0,1,0,1,1,71,1,1,Fibra Óptica,0,1,1,0,0,1,Dois anos,1,Cartão de crédito,3.191666666666667,95.75,6849.4
0020-JDNXP,0,1,0,1,1,34,0,0,DSL,1,0,1,1,1,1,Um ano,0,Cheque,2.0416666666666665,61.25,1993.2
0021-IKXGC,0,1,1,0,0,1,1,1,Fibra Óptica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,2.4033333333333333,72.1,72.1
0022-TCJCI,1,0,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Um ano,0,Cartão de crédito,2.0900000000000003,62.7,2791.5
0023-HGHWL,1,0,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,0.8366666666666667,25.1,25.1
0023-UYUPN,0,1,1,1,0,50,1,1,Não,0,0,0,0,0,0,Um ano,0,Cheque eletrônico,0.84,25.2,1306.3
